percentComplete,cost_variance_ratio,baseline_cpi,baseline_spi,schedule_slippage_days,days_since_last_update,task_count,late_task_count,open_task_count,avg_task_pct_complete,issue_count,open_issue_count,progress_vs_time_ratio,change_in_cpi,change_in_spi,sentiment_trend,late_task_ratio,issue_to_task_ratio,reassignment_count,scope_change_count,avg_open_issue_age,has_blocker,has_risk,has_timeline_concern,has_budget_concern,negative_sentiment_label_count
0.0,0.0,1.0,1,0,42,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,37,23,23,23,0.0,0,0,0.0,0.0,0,0.0,0.9999999565000001,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,37,15,15,15,0.0,0,0,0.0,0.0,0,0.0,0.9999999333,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,-1853,11,11,11,0.0,0,0,0.0,0.0,0,0.0,0.9999999091,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,37,23,23,23,0.0,0,0,0.0,0.0,0,0.0,0.9999999565000001,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,35,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,37,23,23,23,0.0,2,2,0.0,0.0,0,0.0,0.9999999565000001,0.08695651800000001,0,0,-1839,0,0,0,0,0
0.0,0.0,1.0,1,0,-1853,23,23,23,0.0,0,0,0.0,0.0,0,0.0,0.9999999565000001,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,37,23,23,23,0.0,0,0,0.0,0.0,0,0.0,0.9999999565000001,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,37,15,15,15,0.0,0,0,0.0,0.0,0,0.0,0.9999999333,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,-1853,11,11,11,0.0,0,0,0.0,0.0,0,0.0,0.9999999091,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,-1853,11,11,11,0.0,0,0,0.0,0.0,0,0.0,0.9999999091,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,-1853,11,11,11,0.0,0,0,0.0,0.0,0,0.0,0.9999999091,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,37,15,15,15,0.0,0,0,0.0,0.0,0,0.0,0.9999999333,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,-1853,11,11,11,0.0,0,0,0.0,0.0,0,0.0,0.9999999091,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,-1853,23,23,23,0.0,0,0,0.0,0.0,0,0.0,0.9999999565000001,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,37,15,15,15,0.0,0,0,0.0,0.0,0,0.0,0.9999999333,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,-1853,11,11,11,0.0,0,0,0.0,0.0,0,0.0,0.9999999091,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,37,23,23,23,0.0,0,0,0.0,0.0,0,0.0,0.9999999565000001,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,-1853,11,11,11,0.0,0,0,0.0,0.0,0,0.0,0.9999999091,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,37,23,23,23,0.0,0,0,0.0,0.0,0,0.0,0.9999999565000001,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,-1853,11,11,11,0.0,0,0,0.0,0.0,0,0.0,0.9999999091,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,37,15,15,15,0.0,0,0,0.0,0.0,0,0.0,0.9999999333,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,37,23,23,23,0.0,0,0,0.0,0.0,0,0.0,0.9999999565000001,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,37,15,15,15,0.0,0,0,0.0,0.0,0,0.0,0.9999999333,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,37,15,15,15,0.0,0,0,0.0,0.0,0,0.0,0.9999999333,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,37,23,23,23,0.0,0,0,0.0,0.0,0,0.0,0.9999999565000001,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,37,23,23,23,0.0,0,0,0.0,0.0,0,0.0,0.9999999565000001,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,-1853,11,11,11,0.0,0,0,0.0,0.0,0,0.0,0.9999999091,0.0,0,0,0,0,0,0,0,0
50.0,0.0,1.0,1,0,37,10,5,5,50.0,0,0,50000000.0,0.0,0,0.0,0.49999995,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,-1853,11,11,11,0.0,0,0,0.0,0.0,0,0.0,0.9999999091,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,37,23,23,23,0.0,0,0,0.0,0.0,0,0.0,0.9999999565000001,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,37,23,23,23,0.0,0,0,0.0,0.0,0,0.0,0.9999999565000001,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,-1853,23,23,23,0.0,0,0,0.0,0.0,0,0.0,0.9999999565000001,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,-1853,11,11,11,0.0,0,0,0.0,0.0,0,0.0,0.9999999091,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,37,23,23,23,0.0,0,0,0.0,0.0,0,0.0,0.9999999565000001,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,37,15,15,15,0.0,0,0,0.0,0.0,0,0.0,0.9999999333,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,-1853,11,11,11,0.0,0,0,0.0,0.0,0,0.0,0.9999999091,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,37,23,23,23,0.0,0,0,0.0,0.0,0,0.0,0.9999999565000001,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,37,23,23,23,0.0,0,0,0.0,0.0,0,0.0,0.9999999565000001,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,-1853,11,11,11,0.0,0,0,0.0,0.0,0,0.0,0.9999999091,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,37,15,15,15,0.0,0,0,0.0,0.0,0,0.0,0.9999999333,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,-1853,11,11,11,0.0,1,1,0.0,0.0,0,0.0,0.9999999091,0.09090908260000001,0,0,-1853,0,0,0,0,0
0.0,0.0,1.0,1,0,37,15,15,15,0.0,0,0,0.0,0.0,0,0.0,0.9999999333,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,37,15,15,15,0.0,0,0,0.0,0.0,0,0.0,0.9999999333,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,37,15,15,15,0.0,0,0,0.0,0.0,0,0.0,0.9999999333,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,-1853,11,11,11,0.0,1,1,0.0,0.0,0,0.0,0.9999999091,0.09090908260000001,0,0,-1839,0,0,0,0,0
0.0,0.0,1.0,1,0,37,23,23,23,0.0,0,0,0.0,0.0,0,0.0,0.9999999565000001,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,-1853,23,23,23,0.0,0,0,0.0,0.0,0,0.0,0.9999999565000001,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,37,23,23,23,0.0,0,0,0.0,0.0,0,0.0,0.9999999565000001,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,37,15,15,15,0.0,0,0,0.0,0.0,0,0.0,0.9999999333,0.0,0,0,0,0,0,0,0,0
0.0,0.0,1.0,1,0,37,15,15,15,0.0,0,0,0.0,0.0,0,0.0,0.9999999333,0.0,0,0,0,0,0,0,0,0
